|Index|Distance|Velocity|
|931|359.998|299.961|
|932|361.498|299.959|
|933|362.997|299.956|
|934|364.497|299.953|
|935|365.997|299.95|
|936|367.497|299.947|
|937|368.996|299.944|
|938|370.496|299.94|
|939|371.996|299.937|
|940|373.495|299.933|
|941|374.995|299.929|
|942|376.495|299.925|
|943|377.994|299.921|
|944|379.494|299.916|
|945|380.994|299.912|
|946|382.493|299.907|
|947|383.993|299.903|
|948|385.492|299.898|
|949|386.992|299.893|
|950|388.491|299.887|
|951|389.99|299.882|
|952|391.49|299.876|
|953|392.989|299.87|
|954|394.488|299.852|
|955|395.987|299.844|
|956|397.487|299.836|
|957|398.986|299.828|
|958|400.485|299.82|
|959|401.984|299.811|
|960|403.483|299.802|
|961|404.982|299.792|
|962|406.481|299.783|
|963|407.98|299.772|
|964|409.479|299.762|
|965|410.977|299.751|
|966|412.476|299.74|
|967|413.975|299.728|
|968|415.473|299.716|
|969|416.972|299.703|
|970|418.47|299.69|
|971|419.969|299.677|
|972|421.467|299.663|
|973|422.965|299.65|
|974|6.40226e+298|1.#INF|
|975|-8.56729e+123|-8.56729e+123|
|976|-8.56729e+123|-8.56729e+123|
|977|-8.56729e+123|-8.56729e+123|
|978|-8.56729e+123|-8.56729e+123|
|979|-8.56729e+123|-8.56729e+123|
|980|-1.#QNAN|-1.#QNAN|
|981|6.40226e+298|7.42663e+303|
|982|-2.27235e+062|-2.27235e+062|
|983|-8.56729e+123|-8.56729e+123|
|984|-8.56729e+123|-8.56729e+123|
|985|-8.56729e+123|-8.56729e+123|
|986|-8.56729e+123|-8.56729e+123|
|987|-8.56729e+123|-8.56729e+123|
|988|-8.56729e+123|-8.56729e+123|
|989|-8.56729e+123|-8.56729e+123|
|990|-8.56729e+123|-8.56729e+123|
|991|450|300|
|992|1.5|300|
|993|3|300|
|994|4.5|300|
|995|6|300|
|996|7.5|300|
|997|9|300|
|998|10.5|300|
|999|12|300|
|1000|13.5|300|
|1001|15|300|
|1002|16.5|300|
|1003|18|300|
|1004|19.5|300|
|1005|21|300|
|1006|22.5|300|
|1007|24|300|
|1008|25.5|300|
|1009|27|300|
|1010|28.5|300|
|1011|30|300|
|1012|31.5|300|
|1013|33|300|
|1014|34.5|300|
|1015|36|300|
|1016|37.5|300|
|1017|39|300|
|1018|40.5|300|
|1019|42|300|
|1020|43.5|300|
|1021|45|300|
|1022|46.5|300|
|1023|48|300|
|1024|49.5|300|
|1025|51|300|
|1026|52.5|300|
|1027|54|300|
|1028|55.5|300|
|1029|57|300|
|1030|58.5|300|
|1031|60|300|
|1032|61.5|300|
|1033|63|300|
|1034|64.5|300|
|1035|66|300|
|1036|67.5|300|
|1037|69|300|
|1038|70.5|300|
|1039|72|300|
|1040|73.5|300|
|1041|75|300|
|1042|76.5|300|
|1043|78|300|
|1044|79.5|300|
|1045|81|300|
|1046|82.5|300|
|1047|84|300|
|1048|85.5|300|
|1049|87|300|
|1050|88.5|300|
|1051|90|300|
|1052|91.5|300|
|1053|93|300|
|1054|94.5|300|
|1055|96|300|
|1056|97.5|300|
|1057|99|300|
|1058|100.5|300|
|1059|102|300|
|1060|103.5|300|
|1061|105|300|
|1062|106.5|300|
|1063|108|300|
|1064|109.5|300|
|1065|111|300|
|1066|112.5|300|
|1067|114|300|
|1068|115.5|300|
|1069|117|300|
|1070|118.5|300|
|1071|120|300|
|1072|121.5|300|
|1073|123|300|
|1074|124.5|300|
|1075|126|300|
|1076|127.5|300|
|1077|129|300|
|1078|130.5|300|
|1079|132|300|
|1080|133.5|300|
|1081|135|300|
|1082|136.5|300|
|1083|138|300|
|1084|139.5|300|
|1085|141|300|
|1086|142.5|300|
|1087|144|300|
|1088|145.5|300|
|1089|147|300|
|1090|148.5|300|
|1091|150|300|
|1092|151.5|300|
|1093|153|300|
|1094|154.5|300|
|1095|156|300|
|1096|157.5|300|
|1097|159|300|
|1098|160.5|300|
|1099|162|300|
|1100|163.5|300|
|1101|165|300|
|1102|166.5|300|
|1103|168|300|
|1104|169.5|300|
|1105|171|300|
|1106|172.5|300|
|1107|174|300|
|1108|175.5|300|
|1109|177|300|
|1110|178.5|300|
|1111|180|300|
|1112|181.5|300|
|1113|183|300|
|1114|184.5|300|
|1115|186|300|
|1116|187.5|300|
|1117|189|300|
|1118|190.5|300|
|1119|192|300|
|1120|193.5|300|
|1121|195|300|
|1122|196.5|300|
|1123|198|300|
|1124|199.5|300|
|1125|201|300|
|1126|202.5|300|
|1127|204|300|
|1128|205.5|300|
|1129|207|300|
|1130|208.5|300|
|1131|210|300|
|1132|211.5|300|
|1133|213|300|
|1134|214.5|300|
|1135|216|300|
|1136|217.5|300|
|1137|219|300|
|1138|220.5|300|
|1139|222|300|
|1140|223.5|300|
|1141|225|300|
|1142|226.5|300|
|1143|228|300|
|1144|229.5|300|
|1145|231|300|
|1146|232.5|300|
|1147|234|300|
|1148|235.5|300|
|1149|237|300|
|1150|238.5|300|
|1151|240|300|
|1152|241.5|300|
|1153|243|300|
|1154|244.5|300|
|1155|246|300|
|1156|247.5|300|
|1157|249|300|
|1158|250.5|300|
|1159|252|300|
|1160|253.5|300|
|1161|255|300|
|1162|256.5|300|
|1163|258|300|
|1164|259.5|300|
|1165|261|300|
|1166|262.5|300|
|1167|264|300|
|1168|265.5|300|
|1169|267|300|
|1170|268.5|300|
|1171|270|300|
|1172|271.5|300|
|1173|273|300|
|1174|274.5|300|
|1175|276|300|
|1176|277.5|300|
|1177|279|299.999|
|1178|280.5|299.999|
|1179|282|299.999|
|1180|283.5|299.999|
|1181|285|299.999|
|1182|286.5|299.998|
|1183|288|299.998|
|1184|289.5|299.998|
|1185|291|299.997|
|1186|292.5|299.997|
|1187|294|299.997|
|1188|295.5|299.996|
|1189|297|299.995|
|1190|298.5|299.995|
|1191|300|299.994|
|1192|301.5|299.993|
